"","Workout","Timestamp","Live.On.Demand","Instructor.Name","Length..minutes.","Fitness.Discipline","Type","Title","Class.Timestamp","Total.Output","Avg..Watts","Avg..Resistance","Avg..Cadence..RPM.","Avg..Speed..kph.","Distance..km.","Calories.Burned","Avg..Heartrate","Avg..Incline","Avg..Pace..min.km."
"14","2020-08-13","16:21","On Demand","Multiple Instructors",20,"Cardio","Dance Cardio","20 min Dance Cardio","2020-03-05 14:00 (EDT)",NA,NA,"",NA,NA,NA,140,120.85,NA,NA
"15","2020-08-14","15:44","On Demand","Cody Rigsby",30,"Cycling","Music","30 min Pop Ride","2019-11-27 12:20 (EDT)",89,49,"36%",57,18.02,9.01,284,142.2,NA,NA
"16","2020-08-14","16:17","On Demand","Cody Rigsby",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-08-13 18:36 (EDT)",NA,NA,"",NA,NA,NA,92,140.11,NA,NA
"17","2020-08-14","16:29","On Demand","Hannah Corbin",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2020-07-17 09:00 (EDT)",12,39,"37%",48,16.11,1.34,48,143.5,NA,NA
"18","2020-08-14","16:37","On Demand","Tunde Oyeneyin",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-08-14 09:00 (EDT)",NA,NA,"",NA,NA,NA,2,123.19,NA,NA
"19","2020-08-15","8:46","On Demand","Tunde Oyeneyin",20,"Cycling","Beginner","20 min Beginner Ride","2019-12-19 16:00 (EDT)",55,46,"31%",66,17.96,5.99,171,134.09,NA,NA
"20","2020-08-15","9:09","On Demand","Tunde Oyeneyin",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-08-12 09:00 (EDT)",NA,NA,"",NA,NA,NA,79,128.76,NA,NA
"21","2020-08-15","9:22","On Demand","Sam Yo",10,"Cycling","Warm Up/Cool Down","10 min Cool Down Ride","2020-08-08 11:35 (EDT)",21,35,"31%",57,15.51,2.57,81,130.01,NA,NA
"22","2020-08-15","9:35","On Demand","Sam Yo",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-08-02 04:45 (EDT)",NA,NA,"",NA,NA,NA,38,126.29,NA,NA
"23","2020-08-18","16:33","On Demand","Tunde Oyeneyin",20,"Cycling","Beginner","20 min Beginner Ride","2019-12-19 16:00 (EDT)",45,48,"32%",66,18.86,4.99,147,143.87,NA,NA
"24","2020-08-18","16:57","On Demand","Tunde Oyeneyin",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-08-12 09:00 (EDT)",NA,NA,"",NA,NA,NA,84,132.47,NA,NA
"25","2020-08-18","17:10","On Demand","Kendall Toole",15,"Cycling","Music","15 min Pop Ride","2019-12-20 13:00 (EDT)",47,52,"36%",58,18.33,4.59,155,149.64,NA,NA
"26","2020-08-18","17:26","On Demand","Kendall Toole",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-06-08 10:00 (EDT)",NA,NA,"",NA,NA,NA,42,133.59,NA,NA
"27","2020-08-19","15:34","On Demand","Hannah Corbin",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2019-12-14 17:48 (EDT)",81,45,"34%",57,17.3,8.64,229,125.98,NA,NA
"28","2020-08-19","16:08","On Demand","Hannah Corbin",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-07-20 09:40 (EDT)",NA,NA,"",NA,NA,NA,71,121.14,NA,NA
"29","2020-08-19","16:27","On Demand","Robin Arzon",20,"Cycling","Low Impact","20 min Low Impact Ride","2019-12-03 07:16 (EDT)",56,47,"33%",58,16.75,5.58,183,139.49,NA,NA
"30","2020-08-20","16:49","On Demand","Hannah Frankson",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2019-12-02 03:56 (EDT)",83,46,"32%",65,17.85,8.92,255,133.22,NA,NA
"31","2020-08-20","17:22","On Demand","Hannah Frankson",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-08-12 13:02 (EDT)",NA,NA,"",NA,NA,NA,82,130.64,NA,NA
"32","2020-08-21","15:03","On Demand","Matt Wilpers",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2019-10-13 16:18 (EDT)",80,44,"29%",67,17.32,8.66,233,127.89,NA,NA
"33","2020-08-21","15:37","On Demand","Matt Wilpers",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-06-24 14:40 (EDT)",NA,NA,"",NA,NA,NA,74,124.14,NA,NA
"34","2020-08-21","15:50","On Demand","Robin Arzon",15,"Cycling","Intervals","15 min Tabata Ride","2019-09-26 15:21 (EDT)",55,66,"54%",29,14.76,3.96,140,154.71,NA,NA
"35","2020-08-21","16:12","On Demand","Robin Arzon",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-06-30 10:00 (EDT)",NA,NA,"",NA,NA,NA,35,115.7,NA,NA
"36","2020-08-21","19:19","On Demand","Hannah Corbin",20,"Cycling","Beginner","20 min Beginner Ride","2019-07-06 15:00 (EDT)",46,38,"30%",61,16.4,5.46,161,129.75,NA,NA
"37","2020-08-21","19:41","On Demand","Hannah Corbin",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2020-05-31 10:00 (EDT)",NA,NA,"",NA,NA,NA,33,117.41,NA,NA
"38","2020-08-22","16:07","On Demand","Robin Arzon",30,"Cycling","Music","30 min Hip Hop Ride","2019-09-13 12:18 (EDT)",77,51,"39%",48,16.24,7.27,242,144.04,NA,NA
"39","2020-08-22","16:40","On Demand","Robin Arzon",10,"Strength","Arms & Light Weights","10 min Arms Toning","2020-07-31 18:35 (EDT)",NA,NA,"",NA,NA,NA,86,134.34,NA,NA
